City,Cloudiness,Country Code,Humidity,Latitude,Temperature(F),Wind Speed
Luanda,76,AO,100,-8.83,75.29,4.18
Cabedelo,100,BR,99,-6.97,79.21,10.33
Bredasdorp,0,ZA,100,-34.53,60.94,7.54
Chuy,32,UY,88,-33.69,66.29,7.87
Tanete,36,ID,68,-3.94,88.25,6.76
Douglas,90,US,80,58.28,33.8,4.7
Punta Arenas,76,CL,79,-53.16,52.7,16.26
Mataura,0,NZ,67,-46.19,71.74,5.64
Labuhan,8,ID,71,-2.54,85.55,2.51
Puerto Quijarro,12,BO,87,-19.0,77.9,3.74
Nikolskoye,0,RU,64,59.7,-13.36,5.75
Grimshaw,40,CA,68,56.19,30.2,5.82
Mataura,0,NZ,67,-46.19,71.74,5.64
Chernyshevskiy,36,RU,67,63.01,-15.21,3.18
Rikitea,64,PF,100,-23.12,79.84,14.03
Soyo,88,AO,98,-6.13,75.88,3.4
Asyut,0,EG,54,27.18,48.56,2.62
Thompson,40,CA,78,55.74,17.6,3.36
Morondava,8,MG,100,-20.3,79.34,5.3
Mackay,40,CA,45,53.65,31.1,8.05
Cape Town,0,ZA,94,-33.93,61.7,14.25
Albany,40,US,59,42.65,36.01,3.36
Rikitea,64,PF,100,-23.12,79.84,14.03
Victoria,36,BN,100,5.28,81.68,4.07
Vardo,1,US,36,39.62,46.69,8.05
Hilo,40,US,57,19.71,68.27,11.41
Saint-Philippe,75,CA,48,45.36,44.6,5.82
Hermanus,56,ZA,100,-34.42,52.43,3.62
La Ronge,20,CA,86,55.1,20.53,5.41
Ushuaia,88,AR,100,-54.81,45.14,13.69
Los Llanos de Aridane,88,ES,68,28.66,66.2,13.87
Severo-Kurilsk,64,RU,100,50.68,26.47,14.7
Paamiut,20,GL,100,61.99,23.45,10.22
Qaanaaq,64,GL,84,77.48,9.19,9.78
Luderitz,20,NA,95,-26.65,58.33,11.23
Kudahuvadhoo,64,MV,100,2.67,80.11,7.76
Vila Velha,12,BR,100,-3.71,81.68,17.49
Ponta do Sol,76,BR,98,-20.63,65.71,2.73
Rikitea,64,PF,100,-23.12,79.84,14.03
Ilulissat,0,GL,98,69.22,-16.42,3.62
Cap Malheureux,44,MU,100,-19.98,82.04,17.38
Nikolskoye,0,RU,64,59.7,-13.36,5.75
Ushuaia,88,AR,100,-54.81,45.14,13.69
Luderitz,20,NA,95,-26.65,58.33,11.23
Lake City,40,US,65,38.03,36.72,4.63
Mataura,0,NZ,67,-46.19,71.74,5.64
Rikitea,64,PF,100,-23.12,79.84,14.03
Rikitea,64,PF,100,-23.12,79.84,14.03
Punta Arenas,76,CL,79,-53.16,52.7,16.26
Bredasdorp,0,ZA,100,-34.53,60.94,7.54
Ushuaia,88,AR,100,-54.81,45.14,13.69
Rikitea,64,PF,100,-23.12,79.84,14.03
Dingle,20,PH,67,11.0,85.96,11.79
Verkhnevilyuysk,32,RU,72,63.45,-16.29,4.18
Ushuaia,88,AR,100,-54.81,45.14,13.69
